Ilość epok,animals,grass,avgEnergy,avgAge,avgChildren
47,6.0,80.0,119.5,12.6578950881958,1.6666666666666667
48,6.0,82.0,116.5,12.6578950881958,1.6666666666666667
49,6.0,84.0,113.5,12.6578950881958,1.6666666666666667
50,5.0,85.0,153.2,13.615385055541992,2.0
51,5.0,87.0,150.2,13.615385055541992,2.0
52,5.0,89.0,147.2,13.615385055541992,2.0
53,5.0,90.0,164.2,13.615385055541992,2.0
54,5.0,92.0,161.2,13.615385055541992,2.0
55,5.0,94.0,158.2,13.615385055541992,2.0
56,5.0,95.0,175.2,13.615385055541992,2.0
57,5.0,97.0,172.2,13.615385055541992,2.0
58,5.0,98.0,189.2,13.615385055541992,2.0
59,5.0,99.0,206.2,13.615385055541992,2.0
60,5.0,101.0,203.2,13.615385055541992,2.0
61,5.0,103.0,200.2,13.615385055541992,2.0
62,5.0,105.0,197.2,13.615385055541992,2.0
63,5.0,106.0,214.2,13.615385055541992,2.0
64,5.0,108.0,211.2,13.615385055541992,2.0
65,5.0,110.0,208.2,13.615385055541992,2.0
66,5.0,112.0,205.2,13.615385055541992,2.0
67,5.0,114.0,202.2,13.615385055541992,2.0
68,5.0,116.0,199.2,13.615385055541992,2.0
69,5.0,117.0,216.2,13.615385055541992,2.0
70,5.0,117.0,253.2,13.615385055541992,2.0
71,5.0,119.0,250.2,13.615385055541992,2.0
72,5.0,121.0,247.2,13.615385055541992,2.0
73,5.0,122.0,264.2,13.615385055541992,2.0
74,5.0,124.0,261.2,13.615385055541992,2.0
75,5.0,126.0,258.2,13.615385055541992,2.0
76,5.0,128.0,255.2,13.615385055541992,2.0
77,5.0,130.0,252.2,13.615385055541992,2.0
78,5.0,132.0,249.2,13.615385055541992,2.0
79,5.0,132.0,286.2,13.615385055541992,2.0
80,5.0,133.0,303.2,13.615385055541992,2.0
81,5.0,133.0,340.2,13.615385055541992,2.0
82,5.0,135.0,337.2,13.615385055541992,2.0
83,5.0,137.0,334.2,13.615385055541992,2.0
84,5.0,138.0,351.2,13.615385055541992,2.0
85,5.0,138.0,388.2,13.615385055541992,2.0
86,5.0,137.0,445.2,13.615385055541992,2.0
87,5.0,138.0,462.2,13.615385055541992,2.0
88,5.0,140.0,459.2,13.615385055541992,2.0
89,5.0,140.0,496.2,13.615385055541992,2.0
90,5.0,142.0,493.2,13.615385055541992,2.0
91,5.0,144.0,490.2,13.615385055541992,2.0
92,5.0,146.0,487.2,13.615385055541992,2.0
93,5.0,148.0,484.2,13.615385055541992,2.0
94,5.0,150.0,481.2,13.615385055541992,2.0
95,5.0,152.0,478.2,13.615385055541992,2.0
96,5.0,153.0,495.2,13.615385055541992,2.0
97,5.0,155.0,492.2,13.615385055541992,2.0
98,5.0,157.0,489.2,13.615385055541992,2.0
99,5.0,159.0,486.2,13.615385055541992,2.0
100,5.0,160.0,503.2,13.615385055541992,2.0
101,5.0,162.0,500.2,13.615385055541992,2.0
102,5.0,162.0,537.2,13.615385055541992,2.0
103,5.0,164.0,534.2,13.615385055541992,2.0
104,5.0,166.0,531.2,13.615385055541992,2.0
105,5.0,167.0,548.2,13.615385055541992,2.0
106,5.0,169.0,545.2,13.615385055541992,2.0
107,5.0,169.0,582.2,13.615385055541992,2.0
108,5.0,170.0,599.2,13.615385055541992,2.0
109,5.0,172.0,596.2,13.615385055541992,2.0
110,5.0,172.0,633.2,13.615385055541992,2.0
111,5.0,174.0,630.2,13.615385055541992,2.0
112,5.0,176.0,627.2,13.615385055541992,2.0
